sample;creation_date;first_submission_date
019e954706a40e8fdb42c7fcd9402e47;10/16/2020 11:01:19;10/17/2020 5:34:44
02562517436df9302ebb50f2594766f7;09/10/2004 3:40:51;03/07/2018 18:48:42
072fa24def8e77f5c2496992fd359c5b;07/28/2015 17:58:34;08/03/2020 18:45:44
073b555c56edc56c220cbbb8cbdc7d1a;10/05/2014 16:03:51;03/17/2018 15:57:19
09c3538d8f536f809f4c789149d0664d;08/27/2020 13:18:45;08/28/2020 1:13:20
0d2c47c8124f80a4b12ab1d1ac93c37b;01/20/2015 20:24:40;12/08/2020 23:46:34
10f2a6494bfb3850ebebbf482c64d229;11/14/2016 12:22:17;11/14/2018 15:38:32
1238c08a9c3c6bf88846294dd878aa69;11/06/2011 11:13:53;11/06/2018 17:10:36
12d631f48dd510f15a42fed249c20648;12/13/2015 22:32:56;09/14/2020 18:32:48
14622a4ff541771e8c51fc57079b7b13;11/20/2014 11:15:06;11/20/2018 18:55:15
1562e6fc78c2b71ece80d783263bef82;03/02/2018 6:30:59;03/27/2018 3:00:54
1a9323b210ec81404aa509b9079fd71e;02/10/2007 10:06:54;03/26/2018 2:31:21
1acd12d8e8a8c8a2048e3f1410a4b0de;12/03/2021 21:18:03;12/10/2020 2:29:33
1aefa7f9824f775504550360b5cc90c0;03/26/2008 20:07:32;02/27/2018 20:19:22
1c8632e1035b5967c4eb2eccec5a7369;08/15/2010 18:37:08;08/21/2020 18:05:49
1da3504cd71b8c5ed6c34baa6ebab545;10/01/2020 1:45:02;10/07/2020 3:30:38
2159de0ff5d4df8302f887e24ee03a2c;08/04/2010 19:08:11;08/10/2020 17:41:48
21f63d8949cfebe42f304989c571323b;12/07/2017 9:56:29;12/07/2020 18:15:30
22ff684a20a1f1ede284761a5c57a384;01/22/2009 18:58:52;03/03/2018 14:22:32
243fefef39b6953fbfc99cb86e92393b;07/11/2018 20:56:28;07/17/2020 22:34:38
25672dcae009a4bb84b4095397376146;07/28/2004 16:54:45;03/07/2018 15:01:01
25ea6439549c1e095d1a3967c1e5e5bd;12/03/2015 8:45:08;09/14/2020 21:38:39
25fb0b3b8c84da8a31a57d065f885816;09/10/2017 4:25:46;09/21/2020 20:23:03
264203c07394aa283c04f1811b048bca;10/28/2020 23:22:21;11/04/2020 1:56:11
27ac32515da6b05655f46d2bba01a722;06/03/2015 17:09:59;10/17/2020 5:34:43
2a9d922477cc807615a85b24eeac3694;06/26/2009 9:20:21;07/08/2020 20:13:48
2aed346205eafe4b03cf5ded98c9f868;11/15/2009 12:17:13;11/15/2018 20:25:23
2b3b3828f1727e68e3b780e07f8927b3;07/01/2020 19:00:39;07/08/2020 20:16:31
2bdd2d1c6ed7d949cb03914f3c265f17;11/28/2006 19:20:32;12/07/2020 17:10:57
