sample;creation_date;first_submission_date
0d7f456f908565fb547438cb402a4eff;11/01/2018 8:06:31;05/30/2019 14:34:52
1462114257a6fcc52a8782c2a2616009;07/01/2005 21:11:46;04/28/2019 13:40:17
1727de1b3d5636f1817d68ba0208fb50;07/05/2016 23:02:43;07/25/2019 0:18:59
1f4447c12a0b8f99c1ce5b748c762a9f;06/14/2018 4:18:46;05/10/2019 11:28:39
20ef08bdae07f3494e20195e65d7b7f5;09/27/2008 7:14:06;04/25/2019 18:05:31
262148aee0263d710fad294da40f00fc;04/15/2019 20:51:54;04/15/2019 21:00:04
28436a88ee38c5f3b50ffe6ae250b358;04/17/2019 11:47:25;04/17/2019 12:33:20
29d3c08d5f9fcbbef6ea5493907f91d8;10/15/2018 8:33:45;06/12/2019 17:39:28
2d33fd32d8ec7b7d0ed379b80a167ff4;07/31/2018 6:58:40;04/22/2019 23:03:50
33da71f4068bb396ecd1010132abad00;04/03/2019 11:59:10;04/03/2019 16:20:40
39b326e56ab3c48b5bec19ad9300d2cf;12/10/2018 11:28:12;07/09/2019 4:14:51
49d218a1a09ba212e187dc2de923ba62;06/18/2018 18:09:28;04/18/2019 8:01:52
4ca68f9575c366e4156429aa51edec98;06/11/2019 16:53:43;06/12/2019 21:57:35
53cb3f1e57fbd596463d164d1ca79a14;01/11/2017 11:40:08;05/14/2019 20:59:58
58198a2ebac604399c3e930207df47f1;08/04/2010 13:27:18;06/11/2019 22:30:40
586554bb5df08e8cabf54113d76b38e4;06/30/2019 19:41:50;07/01/2019 9:02:55
5b046452db5836deb47e359b4462ee16;11/05/2018 9:40:18;05/04/2019 20:14:29
5c17496674a49f7ebaa44c5b33d32ae4;06/26/2019 22:59:54;06/27/2019 5:13:27
5c79b524fb8d9bb4e9a3d79fe543c011;09/29/2018 18:28:21;05/28/2019 1:20:27
646c630aa377f414e1e6820916952e1e;04/14/2018 13:11:17;06/08/2019 17:24:46
6628c07aadd53f34357b9b63e07d62b8;03/10/2018 14:58:04;05/04/2019 20:11:24
69076366f1a1bd622c0d813709f29e4a;05/29/2018 15:14:36;04/24/2019 16:25:06
6fad1536ab4a9ab46d054ad76996b2d6;04/04/2019 13:04:03;04/04/2019 13:47:47
790b14490eb56622f3cfa768887fcb08;12/28/2018 5:21:36;06/27/2019 18:42:02
79a9b27bebf2d5dc61b44e51a576e585;06/12/2019 14:27:55;06/12/2019 20:06:43
7f2906a696b27f63859d9250876908f6;06/12/2019 17:57:46;06/12/2019 20:06:05
7f52a1c1d63053bcf02c6225e4245345;05/15/2018 3:04:28;05/10/2019 11:28:44
82eecd3b80caa7d0f51aba4ee8149c1a;04/26/2009 13:30:25;04/26/2019 7:53:15
8887f6f532a489fcab28eba80185337b;06/14/2018 20:58:28;07/10/2019 3:19:49
8a74d531fa839caf056a7a9c24237cd7;01/01/1970 16:50:05;07/23/2019 21:05:55
8d1a1a39fec3efbd1700801266ba2529;05/31/2016 15:01:20;07/28/2019 20:20:21
9398682b9740d15dfb7b2996364cd979;01/15/2018 0:04:45;05/10/2019 11:28:39
9434796df2d62e4f666525419db86d18;06/23/2018 11:12:41;06/19/2019 2:09:49
97835760aa696d8ab7acbb5a78a5b013;01/01/1970 16:50:05;07/28/2019 3:56:11
9af3d711fd4733181fcd78796dd21cfa;08/04/2018 4:29:05;05/31/2019 6:35:00
a0039fbc46f2e874f2e4151712993343;04/24/2019 5:13:51;04/27/2019 14:40:14
a24bb61df75034769ffdda61c7a25926;06/09/2016 5:12:12;07/18/2019 21:44:27
a267bf9e58726a34a91c365b61e1424a;09/09/2018 1:16:59;05/07/2019 4:18:12
a2d30294e59cd15304d071c396618fa7;05/20/2018 11:46:53;06/14/2019 14:41:12
a8ab5aca96d260e649026e7fc05837bf;05/28/2018 13:29:02;06/22/2019 22:26:14
aa0d8b2506376c95ba314e14f08a9b49;04/11/2018 17:52:08;08/07/2019 14:11:41
af1cf2281597aba08e40cf7c030d71a9;05/10/2016 19:22:48;07/25/2019 17:16:04
b405cb01f9664b35e351c85ae368a662;06/10/2019 15:55:35;06/16/2019 4:53:11
b5dffcdf23ea0365c0bbf6e70983d351;08/02/2018 18:04:11;05/29/2019 20:02:02
b69270ee30bd20694948dba6c09ead7f;10/06/2018 9:01:04;05/04/2019 17:28:09
ba24a030bd4d4b89a6ad16249d1674c2;06/01/2018 8:53:17;06/26/2019 15:22:05
c58bd54c962d4e236e770df983fd2329;04/28/2018 20:41:25;07/23/2019 5:34:38
c63a7c559870873133a84f0eb6ca54cd;10/17/2018 16:32:08;04/23/2019 14:18:06
cc89100f20002801fa401b77dab0c512;06/03/2018 0:16:30;05/29/2019 3:10:50
d7cfd3b8d83ca0af1518267a15f9c249;06/26/2019 22:59:19;06/27/2019 5:50:14
e24b40197da64a4baa9a81cc735e839b;05/24/2018 13:12:12;07/10/2019 20:57:40
f0c7f0823de1a9303aa26d058c9951a0;05/29/2018 16:24:00;04/16/2019 10:46:37
f1a69224571f7749f261fd8c08d6d8cb;06/26/2019 22:59:39;06/26/2019 23:42:08
f3dcf80b6251cfba1cd754006f693a73;12/19/2016 2:20:56;07/28/2019 19:49:46
f895a1875b3e112df7e4d548b28b9927;02/12/2018 16:16:59;07/08/2019 9:56:35
f8c110929606dca4c08ecaa9f9baf140;07/07/2010 9:22:05;04/01/2019 20:07:20
fac2fc1b97fc3ab4469e723e501cecef;11/02/2018 20:58:34;07/31/2019 14:46:39
fc729a08001392406565808408cf6166;06/30/2018 15:33:08;06/26/2019 13:18:46
