sample;creation_date;first_submission_date
0169de5083f761215e4bf31719363d9f;08/13/2015 0:55:17;02/23/2018 20:50:37
0a632cf368fdf4bb25b2c60b1192dcc9;11/15/2018 8:30:57;11/15/2018 9:08:46
1287b9bb8c96fb1f979f1afbf9aaf64b;02/19/2017 10:01:03;03/31/2018 15:52:30
1d9e9e60065c306cd2357a851314cbd7;10/14/2019 13:37:49;10/14/2019 18:00:41
25570c3d943c0d83d69b12bc8df29b9d;04/18/2017 12:11:06;07/31/2017 15:31:47
2d1be6fed5835338baa18e354f612c7d;11/13/2018 8:07:41;11/13/2018 23:43:52
4759a957f22ace11e5ddc324c45ad231;10/24/2019 12:37:57;10/24/2019 20:44:58
4993b61da1c6bf11688469083fa93c0c;10/07/2019 10:01:51;10/28/2019 18:25:04
552b50ff309fddb1b3d8a7c7f2268546;11/14/2018 7:58:54;11/14/2018 11:09:06
5ac93850e24e7f0be3831f1a7c463e9c;06/26/2017 14:02:18;07/30/2017 16:40:14
60bd4480035e82393636b0fb60d351ba;07/24/2017 14:40:39;07/31/2017 15:20:20
69086a1e935446067ecb1d20bfa99266;06/26/2017 14:02:08;07/31/2017 16:40:45
6ebd6dce92fb9add429d36f84c11148e;10/15/2018 14:43:48;10/15/2018 18:15:26
722b525394b464818a264c0b637e915c;10/06/2019 11:30:51;10/15/2019 14:03:01
742a42cc9d2daa22f4f9b135ea1ccb92;09/28/2014 1:07:56;04/13/2018 10:17:05
74933912ad87ec0b3a1b570a0ea0832b;04/19/2017 14:42:12;07/03/2017 9:01:09
7af2f00c0edfcb6f5cd38d5ffd1f9118;02/19/2019 11:31:35;02/20/2019 22:20:00
7e56dd08f3ba9dd3b0c449da701d9ae4;10/04/2019 6:40:28;10/04/2019 18:50:02
7ede1983b68f1deed03d641e23ffc848;04/26/2019 11:13:21;04/26/2019 17:28:55
82e2de0b3b9910fd7f8f88c5c39ef352;10/21/2020 16:50:13;10/22/2020 8:00:24
8bedebb23e427c1dd5e7cabbb17832e6;11/06/2018 12:37:01;11/06/2018 16:28:35
926a92a4f8d3ee089014e6f6acb134f3;11/13/2018 12:26:42;11/14/2018 14:57:30
9539bcbbba451688854c2c44422c1e60;06/29/2015 3:10:31;04/16/2018 0:12:44
9aac1e00d62e0b4049781cc5eff99bc7;06/20/1992 0:22:17;07/26/2017 16:32:36
9b3659936354dceb1063a42f15d0f12a;07/24/2017 14:40:38;07/31/2017 15:15:37
ac32c723c94e2c311db78fb798f2dd63;05/27/2017 15:27:06;07/31/2017 15:31:43
b34d36c1c76b08e7b8f28d74fbf808d8;06/26/2017 14:01:42;07/31/2017 16:40:35
b6f9ba3fd8af478147c59b2f3b3043c7;06/20/1992 0:22:17;07/30/2017 18:34:43
ba36cf1afb6b6eed38b0a8d54152335b;07/24/2017 14:40:40;07/31/2017 15:23:09
bd79db0f9f8263a215e527d6627baf2f;10/11/2016 21:05:00;10/18/2016 21:02:31
c281b86392fae76e26c8069b2847f13a;10/19/2018 14:02:11;10/19/2018 17:40:43
cb0927359c9abc1cad618f66e06ee60f;11/01/2019 11:12:26;11/01/2019 18:00:19
cd6a1b6901ee3ef7361bdfc128442ad7;11/16/2018 8:44:34;11/16/2018 11:04:01
d58cd6a8d6632edcb6d9354fb094d395;10/28/2016 8:45:18;10/28/2016 18:27:52
d5e19a7e6f286785b1b4adb433211572;11/06/2018 12:09:58;11/06/2018 21:19:07
d7f1fe4ff6154853022f81a5649cd915;10/18/2019 10:46:22;10/18/2019 16:43:29
e3a5872025167f9c7a226664d4abffb2;10/22/2019 10:19:51;10/22/2019 13:58:49
ec3e3ec55662d3055828ca173db3bbb9;09/03/2019 15:48:39;09/03/2019 17:14:02
ed2e054c78889ac655ce266d2f851280;10/11/2019 13:50:59;10/11/2019 16:21:41
f24384228fb49f9271762253b0733123;10/11/2016 21:04:44;10/14/2016 17:19:51
f56cc5f68a48ef768caca55f511e9139;11/20/2018 12:40:21;11/20/2018 20:52:40
f87e1e745b74b87d5987ea3d2418fd8c;02/25/2020 10:08:14;02/25/2020 19:58:15
f8e58af3ffefd4037fef246e93a55dc8;03/20/2017 9:24:56;07/30/2017 16:38:19
